birthday,age,startDate,parttimePercentage,hometown,gender,discipline,office,organisationalUnit,fulltimeOrParttime,birthplace,birthcountry
04/11/1967,32,01/1/2012,40,De Bilt,Man,Senior Front-end Developer,Amersfoort,Creatie Amersfoort eFocus,Parttimer,Dordrecht,Nederland
24/11/1989,37,07/3/2016,95,Eindhoven,Man,Digital Marketeer,Amsterdam,Sales & accountmanagement,Fulltimer,Utrecht,Nederland
17/6/1985,19,01/9/2014,100,Amsterdam,Man,Senior developer,Eindhoven,Creatie Eindhoven eFocus,Stagiair,Amsterdam,Nederland
22/3/1984,27,01/9/2015,100,Nieuw Vennep,Man,QA Specialist,Eindhoven,Creatie Eindhoven eFocus,Fulltimer,Rotterdam,Indonesië
02/7/1983,39,06/2/2017,100,Amsterdam,Vrouw,UX Designer,Utrecht,Strategie en OM Amsterdam eFocus,Stagiair,Meppel,Nederland
13/1/1981,46,01/11/2016,80,Zwolle,Vrouw,Senior developer,Algemeen,eFocus,Fulltimer,Leusden,Nederland
03/6/1985,33,13/7/2015,100,Rosmalen,Vrouw,Projectmanager,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Utrecht,Nederland
05/12/1976,33,01/7/2014,100,Eindhoven,Man,Senior developer,Amersfoort,PM en SM Amersfoort eFocus,Parttimer,Banja Luka,Nederland
05/2/1990,44,01/3/2015,80,Utrecht,Man,Digital Consultant,Utrecht,Creatie Utrecht eFocus,Fulltimer,Deventer,Nederland
15/5/1985,26,17/11/2014,100,Amsterdam,Man,Senior Accountmanager,Utrecht,eFocus,Fulltimer,Zwolle,Nederland
09/12/1981,33,09/8/2010,100,Utrecht,Man,Servicemanager,Amsterdam,Strategie en OM Eindhoven eFocus,Fulltimer,Nijmegen,Nederland
02/3/1995,31,01/9/2013,100,Woudenberg,Vrouw,Senior Accountmanager,Eindhoven,Development Utrecht eFocus,Fulltimer,Utrecht,Nederland
02/9/1982,30,01/4/2015,90,Utrecht,Man,QA Specialist,Amersfoort,Development Amsterdam eFocus,Parttimer,Utrecht,Nederland
02/1/1978,32,01/5/2014,80,Rotterdam,Man,DevOps Engineer,Amsterdam,Strategie en OM Amsterdam eFocus,Fulltimer,Amsterdam,Nederland
18/7/1990,25,01/5/2012,80,Utrecht,Man,Developer,Eindhoven,PM en SM Amersfoort eFocus,Fulltimer,Nijmegen,Nederland
03/7/1978,38,01/1/2017,100,Houten,Man,QA Specialist,Amsterdam,Development Utrecht eFocus,Fulltimer,Haarlem,Nederland
13/4/1994,21,01/6/2016,80,IJsselstein Ut,Man,Developer,Amersfoort,Development Utrecht eFocus,Fulltimer,Heerlen,Nederland
29/3/1975,26,20/8/2007,90,Utrecht,Man,Servicemanager,Algemeen,Development Eindhoven eFocus,Stagiair,Ede Gld,Finland
29/4/1977,33,01/3/2017,100,Zwolle,Man,DevOps Engineer,Eindhoven,Development Utrecht eFocus,Parttimer,Alphen aan den Rijn,Nederland
23/4/1984,30,01/4/2015,100,Alphen aan den Rijn,Man,Senior Digital Marketeer,Algemeen,Strategie en OM Amersfoort eFocus,Fulltimer,Tilburg,Nederland
17/6/1989,41,01/10/2011,100,Tilburg,Man,Front-end Developer,Amsterdam,PM en SM Eindhoven eFocus,Parttimer,Wageningen,Nederland
28/3/1968,46,01/7/2013,100,Maarssen,Man,UX Designer,Amersfoort,Sales & accountmanagement,Parttimer,Utrecht,Nederland
17/7/1990,45,01/9/2014,100,'s-Gravenhage,Man,Developer,Amsterdam,PM en SM Amsterdam eFocus,Fulltimer,Gent,Nederland
06/6/1979,28,24/8/2015,100,Amsterdam,Vrouw,Projectmanager,Eindhoven,Creatie Utrecht eFocus,Fulltimer,Tilburg,Nederland
22/6/1983,48,01/2/2017,90,Amsterdam,Man,Digital Marketeer,Amersfoort,Strategie en OM Utrecht eFocus,Fulltimer,Utrecht,Nederland
06/7/1983,40,01/4/2015,90,Amersfoort,Man,Senior Visual Designer,Eindhoven,Development Eindhoven eFocus,Fulltimer,,Nederland
29/1/1993,26,01/1/2014,100,Amsterdam,Man,Visual Designer,Amsterdam,Creatie Eindhoven eFocus,Fulltimer,Winschoten,Nederland
09/9/1992,40,01/1/2016,90,Odijk,Man,Front-end Developer,Algemeen,Creatie Eindhoven eFocus,Fulltimer,Helmond,Nederland
13/9/1969,22,01/7/2016,100,Utrecht,Man,UX Designer,Amsterdam,Development Eindhoven eFocus,Fulltimer,Breda,Nederland
30/1/1969,31,01/4/2013,80,Utrecht,Man,Senior Servicemanager,Amsterdam,Strategie en OM Amsterdam eFocus,Parttimer,Alkmaar,Nederland
09/7/1970,22,04/7/2011,100,Amersfoort,Vrouw,UX Designer,Amersfoort,Creatie Amersfoort eFocus,Fulltimer,Utrecht,Nederland
08/9/1987,29,01/1/2012,100,IJsselstein Ut,Man,Digital Consultant,Amersfoort,Creatie Eindhoven eFocus,Fulltimer,Zwolle,Nederland
31/8/1985,40,01/8/2008,100,Utrecht,Man,Stagiair,Utrecht,Sales & accountmanagement,Fulltimer,Amsterdam,Nederland
03/7/1978,31,01/1/2014,100,Amsterdam,Vrouw,Projectmanager,Eindhoven,Sales & accountmanagement,Fulltimer,Hardenberg,Nederland
25/7/1982,35,01/4/2017,100,Veghel,Man,DevOps Engineer,Amsterdam,Creatie Utrecht eFocus,Parttimer,Beilen,Nederland
16/12/1973,24,15/9/2016,90,Veenendaal,Man,DevOps Engineer,Utrecht,Development Utrecht eFocus,Stagiair,Delft,Nederland
12/8/1964,31,01/4/2014,90,Alkmaar,Man,Senior UX Designer,Algemeen,Development Amersfoort eFocus,Fulltimer,Breda,Nederland
10/11/1987,35,16/4/2012,80,Houten,Man,Developer,Amersfoort,Development Amersfoort eFocus,Fulltimer,Harlingen,Nederland
05/2/1984,37,14/9/2015,90,Heerlen,Vrouw,Projectmanager,Algemeen,Strategie en OM Eindhoven eFocus,Fulltimer,Nieuwegein,België
